time,pitch_angle,yaw_angle,pitch_ground_angle,yaw_ground_angle,tof1,tof2,tof3,tof4
0.22247719764709473,-0.5,0.1,0.0,-90.6,0,0,0,0
0.41977739334106445,-0.6,6.1,0.0,-84.5,309,0,0,0
0.6225845813751221,-0.7,12.4,0.0,-78.5,313,0,0,0
0.8191900253295898,-0.8,18.5,0.0,-72.5,320,0,0,0
1.0204410552978516,-0.8,24.0,0.0,-66.5,330,0,0,0
1.2212228775024414,-0.9,30.0,0.0,-60.5,346,0,0,0
1.4212281703948975,-1.0,36.5,0.0,-54.5,368,0,0,0
1.6224370002746582,-1.1,42.5,0.0,-48.5,397,0,0,0
1.8205184936523438,-1.1,48.1,0.0,-42.5,405,0,0,0
2.021622896194458,-1.2,54.1,0.0,-36.5,350,0,0,0
2.2235400676727295,-1.2,60.6,0.0,-30.4,311,0,0,0
2.420158624649048,-1.2,66.5,0.0,-24.5,283,0,0,0
2.620166778564453,-1.2,71.9,0.0,-18.5,263,0,0,0
2.8211426734924316,-1.1,78.0,0.0,-12.5,236,0,0,0
3.020298480987549,-1.1,84.6,0.0,-6.4,224,0,0,0
3.220890760421753,-1.1,90.1,0.0,-0.7,214,0,0,0
3.4215595722198486,-1.1,87.2,0.0,-4.0,209,0,0,0
3.622995615005493,-1.2,80.9,0.0,-10.0,211,0,0,0
3.822800397872925,-1.2,74.5,0.0,-16.0,215,0,0,0
4.020770788192749,-1.2,68.8,0.0,-22.0,224,0,0,0
4.225962400436401,-1.2,63.2,0.0,-28.0,238,0,0,0
4.422840118408203,-1.2,56.8,0.0,-34.0,257,0,0,0
4.622133016586304,-1.1,50.5,0.0,-40.0,283,0,0,0
4.825642347335815,-1.1,44.9,0.0,-46.0,309,0,0,0
5.022264242172241,-1.0,39.1,0.0,-52.0,365,0,0,0
5.221664190292358,-0.9,32.5,0.0,-58.0,413,0,0,0
5.427459955215454,-0.8,26.5,0.0,-64.0,385,0,0,0
5.6213462352752686,-0.8,20.8,0.0,-70.0,360,0,0,0
5.82252836227417,-0.7,15.0,0.0,-76.0,341,0,0,0
6.025009393692017,-0.6,8.6,0.0,-82.0,328,0,0,0
6.222697496414185,-0.5,2.5,0.0,-88.0,320,0,0,0
6.421377420425415,-0.4,-3.1,0.0,-94.0,316,0,0,0
6.621140241622925,-0.3,-9.1,0.0,-100.0,317,0,0,0
6.8220531940460205,-0.2,-15.3,0.0,-106.0,325,0,0,0
7.023642539978027,-0.1,-21.5,0.0,-112.0,337,0,0,0
7.2208521366119385,0.0,-27.3,0.0,-118.0,354,0,0,0
7.421480178833008,0.1,-33.0,0.0,-124.0,378,0,0,0
7.621793746948242,0.2,-39.2,0.0,-130.0,402,0,0,0
7.821843147277832,0.3,-45.5,0.0,-136.0,402,0,0,0
8.022069931030273,0.4,-51.4,0.0,-142.0,355,0,0,0
8.22226333618164,0.5,-57.1,0.0,-148.0,319,0,0,0
8.42271614074707,0.6,-63.2,0.0,-154.0,291,0,0,0
8.623920202255249,0.7,-69.5,0.0,-160.0,274,0,0,0
8.822162866592407,0.9,-75.4,0.0,-166.0,246,0,0,0
9.042452573776245,0.9,-81.6,0.0,-172.6,236,0,0,0
9.241594791412354,1.0,-87.6,0.0,-178.6,226,0,0,0
9.446587324142456,1.0,-89.2,0.0,179.7,222,0,0,0
9.641515731811523,0.9,-83.3,0.0,-174.1,221,0,0,0
9.841484308242798,0.7,-77.5,0.0,-168.1,225,0,0,0
10.04157280921936,0.6,-71.8,0.0,-162.1,229,0,0,0
10.244826078414917,0.5,-65.5,0.0,-156.1,239,0,0,0
10.443867683410645,0.5,-59.2,0.0,-150.1,255,0,0,0
10.670542001724243,0.4,-53.3,0.0,-144.1,272,0,0,0
10.843499422073364,0.3,-47.6,0.0,-138.1,296,0,0,0
11.0433988571167,0.2,-41.2,0.0,-132.1,331,0,0,0
11.24256181716919,0.1,-34.4,0.0,-125.5,384,0,0,0
11.442517757415771,0.0,-28.6,0.0,-119.5,406,0,0,0
11.641525506973267,0.0,-22.9,0.0,-113.5,386,0,0,0
11.841930150985718,-0.1,-16.7,0.0,-107.5,360,0,0,0
12.061156034469604,-0.2,-10.5,0.0,-101.5,341,0,0,0
12.261456966400146,-0.4,-4.5,0.0,-95.5,328,0,0,0
12.471314668655396,-0.4,-0.2,0.0,-91.1,320,0,0,0
