Timestamp,Acc_X (g),Acc_Y (g),Acc_Z (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s)
2025-07-04 16:34:57.957514,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-04 16:34:58.060191,0.08943,0.00328,-0.99921,-0.00113,0.0418,0.01078
2025-07-04 16:34:58.162487,0.27709,0.00475,-1.03321,-0.03905,-0.04039,0.04577
2025-07-04 16:34:58.257432,0.10447,-0.03251,-0.99263,-0.00083,-0.00833,-0.02318
2025-07-04 16:34:58.350369,-0.11762,0.04506,-1.02577,0.00475,0.0057,-0.01595
2025-07-04 16:34:58.456126,0.07801,-0.01595,-0.995,0.00405,0.01612,0.0512
2025-07-04 16:34:58.560636,0.0449,0.03331,-1.01032,0.03699,-0.0287,-0.01921
2025-07-04 16:34:58.659207,-0.09562,-0.01106,-1.02774,-0.02584,-0.03342,0.04533
2025-07-04 16:34:58.774943,0.10669,0.00506,-0.99822,-0.00623,0.04413,0.0551
2025-07-04 16:34:58.873628,-0.02614,0.02003,-1.00952,-0.0391,-0.01716,0.01739
2025-07-04 16:34:58.972989,-0.01849,0.02844,-0.97144,-0.00862,0.07237,-0.01549
2025-07-04 16:34:59.072814,-0.07772,0.01966,-0.97038,0.02958,0.01389,-0.01352
2025-07-04 16:34:59.173468,-0.12955,0.00026,-1.0152,0.00082,-0.01855,0.03223
2025-07-04 16:34:59.280170,0.03757,0.01791,-0.99769,0.01951,0.03778,0.04613
2025-07-04 16:34:59.368946,-0.10931,0.04545,-0.98635,0.04241,-0.00468,-0.0562
2025-07-04 16:34:59.478693,-0.07871,0.02809,-1.01261,-0.01552,0.02784,0.00253
2025-07-04 16:34:59.576576,-0.04589,0.02577,-1.00786,0.0015,-0.015,0.02244
2025-07-04 16:34:59.684643,-0.00309,-0.02085,-1.00435,-0.00455,0.00584,0.00694
2025-07-04 16:34:59.780241,0.06093,0.00037,-1.01238,0.00314,-0.01581,0.01256
2025-07-04 16:34:59.880272,-0.01291,0.00052,-1.00714,-0.0025,0.01066,0.02686
2025-07-04 16:34:59.973995,-0.00644,0.01862,-1.00681,0.01434,0.00941,-0.005
