Timestamp,Roll (deg),Pitch (deg),Yaw (deg)
2025-07-04 16:34:57.936656,-0.64,0.61,-0.72
2025-07-04 16:34:58.038777,-0.63,0.69,-0.74
2025-07-04 16:34:58.140806,-0.53,0.7,-0.8
2025-07-04 16:34:58.240418,-0.7,0.59,-0.79
2025-07-04 16:34:58.334381,-0.78,0.44,-0.81
2025-07-04 16:34:58.439473,-0.7,0.47,-0.8
2025-07-04 16:34:58.539769,-0.75,0.37,-0.83
2025-07-04 16:34:58.638907,-0.7,0.37,-0.83
2025-07-04 16:34:58.756809,-0.68,0.55,-0.83
2025-07-04 16:34:58.859038,-0.65,0.56,-0.84
2025-07-04 16:34:58.960005,-0.71,0.66,-0.84
2025-07-04 16:34:59.058831,-0.74,0.62,-0.74
2025-07-04 16:34:59.159645,-0.72,0.53,-0.75
2025-07-04 16:34:59.259420,-0.65,0.6,-0.77
2025-07-04 16:34:59.352823,-0.75,0.47,-0.75
2025-07-04 16:34:59.462170,-0.67,0.49,-0.72
2025-07-04 16:34:59.561619,-0.6,0.43,-0.78
2025-07-04 16:34:59.655201,-0.73,0.5,-0.8
2025-07-04 16:34:59.780241,-0.71,0.47,-0.82
2025-07-04 16:34:59.853698,-0.65,0.46,-0.81
2025-07-04 16:34:59.956114,-0.67,0.48,-0.78
2025-07-04 16:35:00.061096,-0.68,0.45,-0.77
2025-07-04 16:35:00.154209,-0.65,0.43,-0.77
2025-07-04 16:35:00.257987,-0.64,0.43,-0.76
2025-07-04 16:35:00.349867,-0.62,0.43,-0.76
2025-07-04 16:35:00.458138,-0.61,0.42,-0.77
2025-07-04 16:35:00.559168,-0.61,0.42,-0.76
2025-07-04 16:35:00.653406,-0.61,0.42,-0.76
2025-07-04 16:35:00.756962,-0.61,0.42,-0.76
2025-07-04 16:35:00.854142,0.14,0.43,-0.76
2025-07-04 16:35:00.959431,7.22,0.48,-0.76
2025-07-04 16:35:01.056744,14.04,0.55,-0.71
2025-07-04 16:35:01.146989,21.34,0.6,-0.71
2025-07-04 16:35:01.257975,32.8,0.73,-0.63
2025-07-04 16:35:01.360402,40.5,0.77,-0.62
2025-07-04 16:35:01.461067,48.4,0.77,-0.59
2025-07-04 16:35:01.570389,56.26,0.81,-0.56
2025-07-04 16:35:01.658372,64.16,0.86,-0.53
2025-07-04 16:35:01.758224,72.1,0.84,-0.45
2025-07-04 16:35:01.860818,80.0,0.86,-0.41
2025-07-04 16:35:01.960402,86.58,0.84,-0.38
2025-07-04 16:35:02.057802,87.88,0.84,-0.35
2025-07-04 16:35:02.159496,88.74,0.84,-0.35
2025-07-04 16:35:02.251248,88.75,0.84,-0.36
2025-07-04 16:35:02.347548,88.75,0.84,-0.36
2025-07-04 16:35:02.455907,88.76,0.84,-0.36
2025-07-04 16:35:02.562000,88.76,0.84,-0.36
2025-07-04 16:35:02.659057,88.76,0.84,-0.36
2025-07-04 16:35:02.776685,88.76,0.84,-0.36
2025-07-04 16:35:02.877239,88.76,0.84,-0.36
2025-07-04 16:35:02.978756,88.76,0.84,-0.36
2025-07-04 16:35:03.076593,88.76,0.84,-0.36
2025-07-04 16:35:03.178477,88.85,1.0,-0.34
2025-07-04 16:35:03.268104,88.8,0.94,-0.3
2025-07-04 16:35:03.381152,88.73,0.82,-0.33
2025-07-04 16:35:03.481712,88.66,0.79,-0.34
2025-07-04 16:35:03.624900,88.59,0.84,-0.32
2025-07-04 16:35:03.679890,88.66,0.71,-0.36
2025-07-04 16:35:03.769130,88.67,0.61,-0.37
2025-07-04 16:35:03.878475,88.67,0.53,-0.41
2025-07-04 16:35:03.969195,88.7,0.38,-0.43
2025-07-04 16:35:04.078327,88.69,0.34,-0.41
2025-07-04 16:35:04.181891,88.65,0.18,-0.43
2025-07-04 16:35:04.277906,88.63,0.25,-0.39
2025-07-04 16:35:04.376856,88.73,0.23,-0.42
2025-07-04 16:35:04.477323,88.79,0.1,-0.43
2025-07-04 16:35:04.577349,88.64,0.17,-0.44
2025-07-04 16:35:04.681459,88.6,0.13,-0.46
2025-07-04 16:35:04.776796,88.58,0.17,-0.44
2025-07-04 16:35:04.875989,88.67,0.12,-0.46
2025-07-04 16:35:05.001432,88.82,0.12,-0.46
2025-07-04 16:35:05.098359,88.81,0.07,-0.44
2025-07-04 16:35:05.198668,88.85,0.06,-0.46
2025-07-04 16:35:05.299181,88.89,0.07,-0.49
2025-07-04 16:35:05.399467,88.87,0.07,-0.5
2025-07-04 16:35:05.499330,88.88,0.07,-0.5
2025-07-04 16:35:05.599616,88.88,0.06,-0.5
2025-07-04 16:35:05.699577,88.88,0.06,-0.51
2025-07-04 16:35:05.801901,88.89,0.06,-0.51
2025-07-04 16:35:05.899512,91.91,0.03,-0.51
2025-07-04 16:35:06.001784,98.57,0.07,-0.49
2025-07-04 16:35:06.099910,105.69,0.1,-0.58
2025-07-04 16:35:06.201706,113.12,0.14,-0.64
2025-07-04 16:35:06.300200,120.77,0.17,-0.7
2025-07-04 16:35:06.400258,128.49,0.24,-0.75
2025-07-04 16:35:06.498382,136.39,0.3,-0.8
2025-07-04 16:35:06.600403,144.21,0.34,-0.89
2025-07-04 16:35:06.700428,152.14,0.39,-0.9
2025-07-04 16:35:06.800504,160.02,0.43,-0.88
2025-07-04 16:35:06.900650,167.91,0.46,-0.87
2025-07-04 16:35:07.000933,175.28,0.53,-0.84
2025-07-04 16:35:07.100934,178.05,0.56,-0.87
2025-07-04 16:35:07.201386,178.47,0.56,-0.88
2025-07-04 16:35:07.301873,178.48,0.56,-0.88
2025-07-04 16:35:07.400266,178.48,0.55,-0.89
2025-07-04 16:35:07.496555,178.49,0.55,-0.89
2025-07-04 16:35:07.596754,178.49,0.54,-0.9
2025-07-04 16:35:07.721173,178.49,0.54,-0.9
2025-07-04 16:35:07.818195,178.49,0.54,-0.9
2025-07-04 16:35:07.924303,178.49,0.54,-0.9
2025-07-04 16:35:08.009013,178.49,0.54,-0.9
2025-07-04 16:35:08.118338,178.49,0.54,-0.9
2025-07-04 16:35:08.218153,178.42,0.65,-0.91
2025-07-04 16:35:08.314752,178.84,0.62,-0.81
2025-07-04 16:35:08.410511,178.54,0.48,-0.81
2025-07-04 16:35:08.509426,178.38,0.33,-0.89
2025-07-04 16:35:08.627680,178.26,0.43,-0.84
2025-07-04 16:35:08.723073,178.36,0.38,-0.87
2025-07-04 16:35:08.819844,178.38,0.54,-0.87
2025-07-04 16:35:08.911639,178.37,0.59,-0.87
2025-07-04 16:35:09.011739,178.45,0.6,-0.9
2025-07-04 16:35:09.119886,178.45,0.54,-0.92
2025-07-04 16:35:09.212332,178.43,0.48,-0.92
2025-07-04 16:35:09.312323,178.37,0.51,-0.92
2025-07-04 16:35:09.428782,178.47,0.4,-0.92
2025-07-04 16:35:09.519683,178.43,0.33,-0.91
2025-07-04 16:35:09.615847,178.44,0.33,-0.93
