Timestamp_capture,Speed,Angle,Timestamp_internal,State
2025-07-08 11:03:28.792033,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
2025-07-08 11:03:28.894924,"[9, -12, -5, 12]","[31709, 757, 567, 31276]","[47076, 47071, 47073, 47074]","[0, 0, 0, 0]"
2025-07-08 11:03:28.991986,"[78, -77, -63, 70]","[2502, 30885, 31545, 553]","[47136, 47131, 47133, 47134]","[0, 0, 0, 0]"
2025-07-08 11:03:29.091520,"[80, -82, -78, 99]","[6585, 26907, 27689, 4924]","[47196, 47191, 47193, 47194]","[0, 0, 0, 0]"
2025-07-08 11:03:29.190835,"[75, -83, -67, 76]","[11043, 22622, 23166, 9570]","[47256, 47251, 47253, 47254]","[0, 0, 0, 0]"
2025-07-08 11:03:29.318856,"[62, -73, -76, 76]","[14957, 18526, 19201, 13727]","[47316, 47311, 47313, 47314]","[0, 0, 0, 0]"
2025-07-08 11:03:29.391437,"[75, -76, -92, 80]","[19691, 13808, 14336, 18540]","[47376, 47371, 47373, 47374]","[0, 0, 0, 0]"
2025-07-08 11:03:29.491547,"[76, -72, -80, 74]","[24378, 9230, 9713, 23251]","[47436, 47431, 47433, 47434]","[0, 0, 0, 0]"
2025-07-08 11:03:29.593763,"[73, -95, -80, 93]","[28908, 4678, 5233, 27889]","[47496, 47491, 47493, 47494]","[0, 0, 0, 0]"
2025-07-08 11:03:29.698897,"[103, -83, -100, 104]","[1367, 32468, 32743, 319]","[47556, 47551, 47553, 47554]","[0, 0, 0, 0]"
2025-07-08 11:03:29.791082,"[91, -83, -89, 91]","[6125, 27581, 27948, 5160]","[47616, 47611, 47613, 47614]","[0, 0, 0, 0]"
2025-07-08 11:03:29.891296,"[89, -77, -71, 82]","[10864, 22973, 23104, 9867]","[47676, 47671, 47673, 47674]","[0, 0, 0, 0]"
2025-07-08 11:03:29.991878,"[46, -61, -47, 63]","[14594, 19243, 19362, 13518]","[47736, 47731, 47733, 47734]","[0, 0, 0, 0]"
2025-07-08 11:03:30.091767,"[49, -47, -54, 51]","[17339, 16317, 16415, 16481]","[47796, 47791, 47793, 47794]","[0, 0, 0, 0]"
2025-07-08 11:03:30.191605,"[48, -47, -49, 39]","[20446, 13397, 13400, 19413]","[47856, 47851, 47853, 47854]","[0, 0, 0, 0]"
2025-07-08 11:03:30.306582,"[28, -28, -18, 23]","[22197, 11534, 11565, 21188]","[47916, 47911, 47913, 47914]","[0, 0, 0, 0]"
2025-07-08 11:03:30.421318,"[16, -15, -19, 20]","[23240, 10257, 10447, 22288]","[47976, 47971, 47973, 47974]","[0, 0, 0, 0]"
2025-07-08 11:03:30.491242,"[2, -2, -5, 11]","[23894, 9845, 10177, 22978]","[48036, 48031, 48033, 48034]","[0, 0, 0, 0]"
2025-07-08 11:03:30.591055,"[6, -10, -23, 6]","[24150, 9303, 9799, 23355]","[48096, 48091, 48093, 48094]","[0, 0, 0, 0]"
2025-07-08 11:03:30.691569,"[12, -17, -18, 13]","[24780, 8385, 8989, 24112]","[48156, 48151, 48153, 48154]","[0, 0, 0, 0]"
2025-07-08 11:03:30.792567,"[8, -17, -13, 10]","[25469, 7766, 8280, 24673]","[48216, 48211, 48213, 48214]","[0, 0, 0, 0]"
2025-07-08 11:03:30.890720,"[8, -11, -8, 9]","[25965, 7301, 7806, 25201]","[48276, 48271, 48273, 48274]","[0, 0, 0, 0]"
2025-07-08 11:03:30.991239,"[7, -8, -7, 6]","[26335, 6923, 7447, 25589]","[48336, 48331, 48333, 48334]","[0, 0, 0, 0]"
2025-07-08 11:03:31.091486,"[2, -3, -7, 2]","[26579, 6638, 7091, 25912]","[48396, 48391, 48393, 48394]","[0, 0, 0, 0]"
2025-07-08 11:03:31.190202,"[-1, -6, -4, 6]","[26811, 6341, 6827, 26219]","[48456, 48451, 48453, 48454]","[0, 0, 0, 0]"
2025-07-08 11:03:31.292222,"[3, -10, 5, 6]","[27012, 6085, 6634, 26440]","[48516, 48511, 48513, 48514]","[0, 0, 0, 0]"
2025-07-08 11:03:31.396054,"[2, -1, -3, 1]","[27134, 5950, 6524, 26533]","[48576, 48571, 48573, 48574]","[0, 0, 0, 0]"
2025-07-08 11:03:31.490628,"[-4, 1, 6, -2]","[27130, 5945, 6524, 26528]","[48636, 48631, 48633, 48634]","[0, 0, 0, 0]"
2025-07-08 11:03:31.593306,"[-6, 1, -4, 0]","[27063, 6012, 6582, 26469]","[48696, 48691, 48693, 48694]","[0, 0, 0, 0]"
2025-07-08 11:03:31.713643,"[-32, -66, -19, -55]","[26781, 5909, 6432, 26181]","[48756, 48751, 48753, 48754]","[0, 0, 0, 0]"
2025-07-08 11:03:31.810710,"[-37, -59, -47, -40]","[24308, 3558, 4127, 23837]","[48816, 48811, 48813, 48814]","[0, 0, 0, 0]"
2025-07-08 11:03:31.911366,"[-38, -46, -66, -57]","[21977, 1176, 1566, 21323]","[48876, 48871, 48873, 48874]","[0, 0, 0, 0]"
2025-07-08 11:03:32.011575,"[-39, -50, -47, -47]","[19452, 31302, 31466, 18581]","[48936, 48931, 48933, 48934]","[0, 0, 0, 0]"
2025-07-08 11:03:32.111367,"[-50, -56, -37, -58]","[16676, 28551, 28887, 15798]","[48996, 48991, 48993, 48994]","[0, 0, 0, 0]"
2025-07-08 11:03:32.211139,"[-52, -60, -53, -44]","[13752, 25632, 26118, 12924]","[49056, 49051, 49053, 49054]","[0, 0, 0, 0]"
2025-07-08 11:03:32.311551,"[-58, -61, -40, -43]","[10920, 22721, 23231, 10101]","[49116, 49111, 49113, 49114]","[0, 0, 0, 0]"
2025-07-08 11:03:32.418459,"[-50, -53, -64, -60]","[8026, 19839, 20288, 7161]","[49176, 49171, 49173, 49174]","[0, 0, 0, 0]"
2025-07-08 11:03:32.510726,"[-46, -56, -48, -60]","[5234, 17019, 17390, 4249]","[49236, 49231, 49233, 49234]","[0, 0, 0, 0]"
2025-07-08 11:03:32.610813,"[-55, -56, -54, -61]","[2282, 14072, 14601, 1303]","[49296, 49291, 49293, 49294]","[0, 0, 0, 0]"
2025-07-08 11:03:32.711277,"[-55, -58, -62, -59]","[29282, 8281, 8826, 28318]","[49416, 49411, 49413, 49414]","[0, 0, 0, 0]"
2025-07-08 11:03:32.813836,"[-19, -22, -24, -16]","[27687, 6647, 6999, 26658]","[49476, 49471, 49473, 49474]","[0, 0, 0, 0]"
2025-07-08 11:03:32.911055,"[-3, -5, -4, -4]","[27040, 5790, 6348, 25891]","[49536, 49531, 49533, 49534]","[0, 0, 0, 0]"
2025-07-08 11:03:33.011332,"[5, 1, -4, 1]","[27031, 5760, 6322, 25882]","[49596, 49591, 49593, 49594]","[0, 0, 0, 0]"
2025-07-08 11:03:33.110710,"[-1, 4, -6, -3]","[27023, 5767, 6331, 25872]","[49656, 49651, 49653, 49654]","[0, 0, 0, 0]"
2025-07-08 11:03:33.211060,"[2, 1, -1, -2]","[27021, 5774, 6337, 25869]","[49716, 49711, 49713, 49714]","[0, 0, 0, 0]"
2025-07-08 11:03:33.319215,"[5, -6, 1, -3]","[27024, 5772, 6334, 25872]","[49776, 49771, 49773, 49774]","[0, 0, 0, 0]"
2025-07-08 11:03:33.410854,"[-3, -7, 1, 4]","[27025, 5770, 6333, 25874]","[49836, 49831, 49833, 49834]","[0, 0, 0, 0]"
2025-07-08 11:03:33.513071,"[-7, -3, 1, -4]","[27023, 5773, 6336, 25872]","[49896, 49891, 49893, 49894]","[0, 0, 0, 0]"
2025-07-08 11:03:33.611772,"[-4, 1, -2, 1]","[27024, 5772, 6335, 25873]","[49956, 49951, 49953, 49954]","[0, 0, 0, 0]"
2025-07-08 11:03:33.711520,"[-6, 0, -11, -2]","[27025, 5772, 6334, 25874]","[50016, 50011, 50013, 50014]","[0, 0, 0, 0]"
2025-07-08 11:03:33.810768,"[1, -2, -4, 3]","[27024, 5773, 6336, 25873]","[50076, 50071, 50073, 50074]","[0, 0, 0, 0]"
2025-07-08 11:03:33.912366,"[5, 14, -5, 6]","[27058, 5777, 6325, 25875]","[50136, 50131, 50133, 50134]","[0, 0, 0, 0]"
2025-07-08 11:03:34.012354,"[114, -47, -37, 59]","[29842, 4675, 5231, 27109]","[50196, 50191, 50193, 50194]","[0, 0, 0, 0]"
2025-07-08 11:03:34.110744,"[93, -74, -100, 70]","[1699, 1353, 1920, 31528]","[50256, 50251, 50253, 50254]","[0, 0, 0, 0]"
2025-07-08 11:03:34.210822,"[83, -72, -74, 69]","[6090, 30083, 30442, 3336]","[50316, 50311, 50313, 50314]","[0, 0, 0, 0]"
2025-07-08 11:03:34.310840,"[72, -76, -56, 81]","[10147, 26027, 26546, 7443]","[50376, 50371, 50373, 50374]","[0, 0, 0, 0]"
2025-07-08 11:03:34.421743,"[80, -95, -85, 103]","[14690, 21603, 21934, 12050]","[50436, 50431, 50433, 50434]","[0, 0, 0, 0]"
2025-07-08 11:03:34.514603,"[68, -87, -78, 91]","[19415, 16831, 17140, 16954]","[50496, 50491, 50493, 50494]","[0, 0, 0, 0]"
2025-07-08 11:03:34.612709,"[79, -92, -79, 91]","[23980, 12195, 12592, 21656]","[50556, 50551, 50553, 50554]","[0, 0, 0, 0]"
2025-07-08 11:03:34.711641,"[88, -98, -89, 92]","[29051, 7043, 7537, 26893]","[50616, 50611, 50613, 50614]","[0, 0, 0, 0]"
2025-07-08 11:03:34.813405,"[104, -80, -97, 106]","[1416, 1987, 2422, 32083]","[50676, 50671, 50673, 50674]","[0, 0, 0, 0]"
2025-07-08 11:03:34.911354,"[92, -101, -86, 82]","[6391, 29658, 30245, 4525]","[50736, 50731, 50733, 50734]","[0, 0, 0, 0]"
2025-07-08 11:03:35.012052,"[68, -61, -89, 70]","[10463, 25411, 26053, 8709]","[50796, 50791, 50793, 50794]","[0, 0, 0, 0]"
2025-07-08 11:03:35.111691,"[59, -54, -57, 64]","[13657, 22175, 22889, 11887]","[50856, 50851, 50853, 50854]","[0, 0, 0, 0]"
2025-07-08 11:03:35.212048,"[51, -50, -55, 52]","[16879, 18989, 19596, 15118]","[50916, 50911, 50913, 50914]","[0, 0, 0, 0]"
2025-07-08 11:03:35.311579,"[25, -33, -20, 17]","[18940, 16800, 17510, 17198]","[50976, 50971, 50973, 50974]","[0, 0, 0, 0]"
2025-07-08 11:03:35.410730,"[12, -18, -14, 6]","[19962, 15673, 16481, 18428]","[51036, 51031, 51033, 51034]","[0, 0, 0, 0]"
2025-07-08 11:03:35.510797,"[12, -10, -12, 9]","[20525, 15152, 16004, 18838]","[51096, 51091, 51093, 51094]","[0, 0, 0, 0]"
2025-07-08 11:03:35.610741,"[21, -15, -15, 21]","[21270, 14507, 15268, 19522]","[51156, 51151, 51153, 51154]","[0, 0, 0, 0]"
2025-07-08 11:03:35.715806,"[17, -11, -11, 20]","[22089, 13646, 14467, 20383]","[51216, 51211, 51213, 51214]","[0, 0, 0, 0]"
2025-07-08 11:03:35.811371,"[12, -11, -10, 2]","[22836, 12851, 13735, 21069]","[51276, 51271, 51273, 51274]","[0, 0, 0, 0]"
2025-07-08 11:03:35.912257,"[4, -9, -6, 8]","[23266, 12447, 13308, 21530]","[51336, 51331, 51333, 51334]","[0, 0, 0, 0]"
2025-07-08 11:03:36.024659,"[7, -7, -7, 3]","[23580, 12112, 12959, 21848]","[51396, 51391, 51393, 51394]","[0, 0, 0, 0]"
2025-07-08 11:03:36.111239,"[5, -5, -8, 6]","[23910, 11755, 12635, 22123]","[51456, 51451, 51453, 51454]","[0, 0, 0, 0]"
2025-07-08 11:03:36.216634,"[-2, -7, -6, 1]","[24158, 11491, 12379, 22383]","[51516, 51511, 51513, 51514]","[0, 0, 0, 0]"
2025-07-08 11:03:36.311313,"[0, -1, -7, 3]","[24266, 11352, 12220, 22514]","[51576, 51571, 51573, 51574]","[0, 0, 0, 0]"
2025-07-08 11:03:36.413345,"[2, -6, 3, -1]","[24282, 11324, 12188, 22537]","[51636, 51631, 51633, 51634]","[0, 0, 0, 0]"
2025-07-08 11:03:36.511288,"[-2, 1, 0, -3]","[24238, 11370, 12242, 22482]","[51696, 51691, 51693, 51694]","[0, 0, 0, 0]"
2025-07-08 11:03:36.614440,"[-1, 4, -1, -5]","[24186, 11429, 12307, 22416]","[51756, 51751, 51753, 51754]","[0, 0, 0, 0]"
2025-07-08 11:03:36.710078,"[-51, -37, -50, -58]","[22317, 10083, 10780, 20690]","[51816, 51811, 51813, 51814]","[0, 0, 0, 0]"
2025-07-08 11:03:36.813604,"[-42, -37, -47, -64]","[19886, 7720, 8395, 18116]","[51876, 51871, 51873, 51874]","[0, 0, 0, 0]"
2025-07-08 11:03:36.912671,"[-43, -50, -44, -55]","[17384, 5070, 5662, 15470]","[51936, 51931, 51933, 51934]","[0, 0, 0, 0]"
2025-07-08 11:03:37.010921,"[-35, -44, -43, -42]","[14839, 2187, 2954, 12786]","[51996, 51991, 51993, 51994]","[0, 0, 0, 0]"
2025-07-08 11:03:37.111565,"[-61, -47, -46, -47]","[12001, 32178, 191, 9946]","[52056, 52051, 52053, 52054]","[0, 0, 0, 0]"
2025-07-08 11:03:37.211877,"[-48, -45, -44, -62]","[9091, 29276, 30197, 7002]","[52116, 52111, 52113, 52114]","[0, 0, 0, 0]"
2025-07-08 11:03:37.312105,"[-52, -53, -56, -66]","[6285, 26447, 27354, 4131]","[52176, 52171, 52173, 52174]","[0, 0, 0, 0]"
2025-07-08 11:03:37.421632,"[-46, -57, -43, -53]","[3394, 23547, 24355, 1225]","[52236, 52231, 52233, 52234]","[0, 0, 0, 0]"
2025-07-08 11:03:37.511098,"[-42, -49, -54, -38]","[613, 20700, 21541, 31111]","[52296, 52291, 52293, 52294]","[0, 0, 0, 0]"
2025-07-08 11:03:37.614356,"[-58, -60, -49, -54]","[30444, 17796, 18637, 28172]","[52356, 52351, 52353, 52354]","[0, 0, 0, 0]"
2025-07-08 11:03:37.712094,"[-57, -44, -47, -48]","[27567, 14878, 15857, 25279]","[52416, 52411, 52413, 52414]","[0, 0, 0, 0]"
