Timestamp,Acc_X (g),Acc_Y (g),Acc_Z (g)
2025-07-08 11:03:28.770261,0.0,0.0,0.0
2025-07-08 11:03:28.874406,0.08643,0.01218,-1.00356
2025-07-08 11:03:28.971041,0.29096,0.02213,-1.0021
2025-07-08 11:03:29.071216,0.10788,0.00417,-1.02354
2025-07-08 11:03:29.172062,-0.12975,-0.02953,-0.98696
2025-07-08 11:03:29.271368,0.0832,0.00687,-1.04726
2025-07-08 11:03:29.373360,0.05459,0.01589,-0.98524
2025-07-08 11:03:29.470532,-0.10495,-0.03328,-0.9305
2025-07-08 11:03:29.571165,0.12007,0.02732,-1.0244
2025-07-08 11:03:29.670879,-0.03852,0.01859,-1.01231
2025-07-08 11:03:29.771147,-0.02227,-0.01156,-1.00915
2025-07-08 11:03:29.870976,-0.04948,0.01674,-1.02305
2025-07-08 11:03:29.970887,-0.17619,0.02024,-1.01375
2025-07-08 11:03:30.079764,0.07141,0.01008,-1.04245
2025-07-08 11:03:30.178126,-0.13548,-0.00582,-1.01254
2025-07-08 11:03:30.271651,-0.13625,0.02788,-1.01445
2025-07-08 11:03:30.371071,-0.01119,-0.01891,-1.02122
2025-07-08 11:03:30.472349,-0.04204,0.03829,-1.02397
2025-07-08 11:03:30.570578,0.06742,-0.00469,-1.00633
2025-07-08 11:03:30.672343,-0.01055,0.0009,-1.00267
2025-07-08 11:03:30.771422,-0.02358,-0.00473,-1.00914
2025-07-08 11:03:30.872803,-0.0176,-0.00047,-1.01189
2025-07-08 11:03:30.980079,-0.01112,0.00019,-1.00876
2025-07-08 11:03:31.070730,-0.0056,0.01244,-1.00617
2025-07-08 11:03:31.171798,-0.00961,0.01089,-1.00892
2025-07-08 11:03:31.270736,-0.01187,0.00838,-1.00848
2025-07-08 11:03:31.372176,-0.01511,0.00774,-1.00691
2025-07-08 11:03:31.471187,-0.01083,0.00856,-1.00943
2025-07-08 11:03:31.592305,-0.00189,0.00889,-1.0076
2025-07-08 11:03:31.691423,-0.00291,-0.03385,-0.99687
2025-07-08 11:03:31.790374,0.02018,-0.00408,-1.01226
2025-07-08 11:03:31.891695,0.00458,-0.04081,-0.98696
2025-07-08 11:03:31.990522,0.00635,0.01477,-1.00988
2025-07-08 11:03:32.091633,0.01955,0.00478,-1.00525
2025-07-08 11:03:32.191646,0.0075,-0.01362,-0.99355
2025-07-08 11:03:32.291150,0.00696,-0.00929,-1.01016
2025-07-08 11:03:32.394461,0.01268,0.0014,-1.01536
2025-07-08 11:03:32.494731,0.01593,0.00844,-1.00441
2025-07-08 11:03:32.595675,0.0156,-0.01865,-1.00724
2025-07-08 11:03:32.700122,0.01217,-0.01022,-1.00906
2025-07-08 11:03:32.790328,0.01704,-0.03043,-1.01828
2025-07-08 11:03:32.891153,0.00162,0.02356,-1.00881
2025-07-08 11:03:32.990829,0.01909,0.05169,-1.00485
2025-07-08 11:03:33.090804,-0.00163,0.00937,-1.00814
2025-07-08 11:03:33.190295,0.00435,0.00701,-1.00924
2025-07-08 11:03:33.301211,0.00466,0.00844,-1.00755
2025-07-08 11:03:33.390821,0.00314,0.00679,-1.00823
2025-07-08 11:03:33.491351,0.00232,0.00682,-1.00739
2025-07-08 11:03:33.591148,0.00288,0.00649,-1.00702
2025-07-08 11:03:33.690566,0.00156,0.00756,-1.00624
2025-07-08 11:03:33.792885,0.00223,0.00781,-1.00874
2025-07-08 11:03:33.891099,0.00343,0.00698,-1.00767
2025-07-08 11:03:33.990517,0.00766,0.0018,-1.00652
2025-07-08 11:03:34.090995,0.25158,0.01005,-0.99644
2025-07-08 11:03:34.193805,0.12742,-0.02212,-1.00215
2025-07-08 11:03:34.291540,-0.06311,-0.00091,-0.9894
2025-07-08 11:03:34.390659,0.01492,-0.02952,-1.00726
2025-07-08 11:03:34.494103,0.09446,0.02033,-1.01886
2025-07-08 11:03:34.591240,-0.08624,-0.02228,-1.00016
2025-07-08 11:03:34.690885,0.06277,-0.00763,-1.0318
2025-07-08 11:03:34.791757,0.02457,0.01307,-1.04218
2025-07-08 11:03:34.890578,-0.0544,0.01806,-1.02237
2025-07-08 11:03:34.990068,0.01344,-0.01134,-0.99205
2025-07-08 11:03:35.091811,-0.19687,0.01352,-1.0106
2025-07-08 11:03:35.193435,0.04976,-0.00857,-1.00432
2025-07-08 11:03:35.292596,-0.06588,0.01112,-1.00797
2025-07-08 11:03:35.404729,-0.17338,0.01509,-1.0062
2025-07-08 11:03:35.490786,-0.05315,-0.00568,-1.01112
2025-07-08 11:03:35.592135,0.00013,-0.01285,-0.99871
2025-07-08 11:03:35.689876,0.03217,0.04532,-1.01161
2025-07-08 11:03:35.790661,-0.01459,0.00552,-1.00548
2025-07-08 11:03:35.891014,-0.03763,-0.00596,-1.00138
2025-07-08 11:03:35.990349,-0.01598,0.00216,-1.00722
2025-07-08 11:03:36.090550,-0.0009,0.0033,-1.00903
2025-07-08 11:03:36.192088,-0.00381,0.00573,-1.00811
2025-07-08 11:03:36.291366,-0.01658,0.0032,-1.00719
2025-07-08 11:03:36.390894,-0.01115,0.00725,-1.00871
2025-07-08 11:03:36.490000,-0.01104,0.00623,-1.00693
2025-07-08 11:03:36.591648,-0.00233,0.00678,-1.00774
2025-07-08 11:03:36.692360,-2e-05,0.00582,-1.00826
2025-07-08 11:03:36.798433,0.0275,0.0577,-1.01346
2025-07-08 11:03:36.891430,0.01346,-0.01462,-1.02065
2025-07-08 11:03:36.990921,0.01345,-0.02541,-1.00179
2025-07-08 11:03:37.091223,0.00495,0.00386,-1.0087
2025-07-08 11:03:37.191234,0.02066,0.00393,-1.02006
2025-07-08 11:03:37.292410,0.02468,-0.00196,-0.99886
2025-07-08 11:03:37.391743,0.0339,0.02752,-1.00808
2025-07-08 11:03:37.490950,0.02525,0.00674,-1.01923
2025-07-08 11:03:37.592090,0.02897,0.02225,-0.99627
