Timestamp,Acc_X (g),Acc_Y (g),Acc_Z (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s)
2025-07-03 21:46:33.239390,-0.00084,0.00374,-1.01002,0.00292,0.00462,0.00877
2025-07-03 21:46:33.335575,0.20536,0.01097,-1.01916,-0.01197,0.02509,0.0439
2025-07-03 21:46:33.447773,0.25853,0.05468,-1.01417,0.00885,-0.0094,-0.08142
2025-07-03 21:46:33.547023,0.03543,-0.01867,-1.01161,-0.0147,0.00359,0.02494
2025-07-03 21:46:33.654165,-0.09017,-0.02631,-1.01787,0.02804,0.01984,0.02123
2025-07-03 21:46:33.745277,0.12111,0.02129,-1.0266,0.01108,0.00654,0.00409
2025-07-03 21:46:33.847754,-0.05354,-0.01296,-1.03593,0.02918,-0.05337,0.0597
2025-07-03 21:46:33.944481,-0.0071,0.00814,-1.02353,0.00412,0.02441,0.03366
2025-07-03 21:46:34.047137,0.08695,-0.00694,-1.03403,-0.03601,0.01728,0.04032
2025-07-03 21:46:34.144401,-0.06153,0.02082,-0.99693,-0.02397,-0.01081,0.01091
2025-07-03 21:46:34.247670,0.0457,-0.00658,-1.00933,-0.04822,0.03082,0.02344
2025-07-03 21:46:34.344528,-0.1612,0.01105,-1.00141,-0.00163,-0.02864,0.00174
2025-07-03 21:46:34.447590,-0.05318,0.02704,-0.97237,0.01179,0.04743,-0.03059
2025-07-03 21:46:34.547779,0.04468,-0.01926,-0.98568,-0.00942,0.00924,0.0277
2025-07-03 21:46:34.645336,-0.17576,0.00852,-1.01689,-0.02292,0.02874,-0.01615
2025-07-03 21:46:34.742198,0.00194,-0.04066,-1.0153,0.01159,0.02702,0.05768
2025-07-03 21:46:34.846990,-0.21706,-0.01588,-0.98575,0.01856,-0.00985,0.02696
2025-07-03 21:46:34.948592,0.09902,0.00848,-1.00496,0.01229,0.00878,-0.03162
2025-07-03 21:46:35.040670,-0.01354,0.0372,-0.99954,-0.00169,-0.00472,-0.0239
2025-07-03 21:46:35.145958,-0.01379,0.009,-1.01056,0.00349,0.00041,0.02045
2025-07-03 21:46:35.247805,-0.01257,0.00796,-1.01049,0.00167,-0.00173,0.01049
2025-07-03 21:46:35.339405,-0.0123,0.00476,-1.0093,0.00123,0.00157,0.01271
2025-07-03 21:46:35.448212,-0.01338,0.00569,-1.00743,0.00227,0.00437,0.00846
2025-07-03 21:46:35.545203,-0.00327,0.0046,-1.0085,0.00497,0.00491,0.00832
2025-07-03 21:46:35.647830,-0.00083,0.00418,-1.00991,0.00418,0.00426,0.00818
2025-07-03 21:46:35.747081,0.00084,0.00546,-1.00999,0.00313,0.00721,0.01129
2025-07-03 21:46:35.847757,0.0078,0.00477,-1.0103,0.00325,0.00366,0.00969
2025-07-03 21:46:35.945127,0.01022,0.00434,-1.00903,0.00305,0.00351,0.00909
2025-07-03 21:46:36.048556,0.00511,0.00479,-1.01029,0.00081,0.00427,0.0099
2025-07-03 21:46:36.141535,0.08765,0.15167,-1.00437,1e-05,-0.01541,1.12671
2025-07-03 21:46:36.248068,0.01598,-0.03063,-1.00863,-0.01498,0.02504,1.19282
2025-07-03 21:46:36.344082,0.00498,-0.02294,-1.00333,-0.00827,-0.01914,1.2913
2025-07-03 21:46:36.445479,0.02488,0.01348,-1.00067,-0.00779,-0.01044,1.3106
2025-07-03 21:46:36.545001,0.03253,-0.01005,-0.99785,-0.01196,-0.01862,1.38538
2025-07-03 21:46:36.647221,0.01669,-0.03367,-0.98047,0.03103,-0.00013,1.37886
2025-07-03 21:46:36.746068,0.01166,-0.01907,-1.00371,-0.00481,-0.00897,1.40746
2025-07-03 21:46:36.847093,0.00759,-0.05148,-1.0193,0.00082,0.03915,1.46442
2025-07-03 21:46:36.944208,0.01314,-0.04301,-1.02742,-0.03702,0.00911,1.44994
2025-07-03 21:46:37.047043,0.0054,-0.01608,-1.04788,-0.03045,-0.01561,1.42956
2025-07-03 21:46:37.144025,0.01935,0.0216,-1.02273,-0.02677,-0.01172,1.37812
2025-07-03 21:46:37.247042,0.07488,0.16576,-1.02217,-0.00261,-0.02017,0.5366
2025-07-03 21:46:37.347503,0.0231,0.06914,-1.0062,-0.00665,-0.00228,0.1185
2025-07-03 21:46:37.445749,-0.00811,-0.01624,-1.01161,0.00191,-0.00127,0.00702
2025-07-03 21:46:37.543236,-0.0035,-0.0004,-1.01046,0.00183,0.00395,0.01038
2025-07-03 21:46:37.647934,0.00265,0.00777,-1.009,0.00341,-0.0002,0.00861
2025-07-03 21:46:37.748033,0.0016,0.00473,-1.00969,0.00132,0.0029,0.0093
2025-07-03 21:46:37.841184,-0.00178,0.00579,-1.00956,0.00229,0.00469,0.0083
2025-07-03 21:46:37.947721,-0.00174,0.00565,-1.00815,0.00359,0.0033,0.00988
2025-07-03 21:46:38.068356,0.0002,0.00584,-1.00889,0.00255,0.00349,0.0107
2025-07-03 21:46:38.168317,-0.00041,0.00679,-1.00939,0.00357,0.00463,0.00752
2025-07-03 21:46:38.268630,-0.00132,0.00549,-1.00948,0.00239,0.00201,0.0104
2025-07-03 21:46:38.366722,0.02829,-0.00122,-0.99437,0.00969,0.0439,-0.00206
2025-07-03 21:46:38.467685,0.2844,0.01344,-0.99575,0.0178,0.02403,0.08368
2025-07-03 21:46:38.568031,0.12552,0.00458,-1.0403,0.02676,-0.04912,-0.09032
2025-07-03 21:46:38.658189,-0.08814,0.03337,-0.99766,0.00388,0.00309,-0.0313
2025-07-03 21:46:38.769051,0.04334,-0.00951,-1.00289,-0.03627,0.00599,0.0219
2025-07-03 21:46:38.865618,0.08876,0.01237,-1.0017,0.01673,-0.00037,-0.00352
2025-07-03 21:46:38.961054,-0.0728,0.01076,-0.99936,0.00311,0.0206,0.00333
2025-07-03 21:46:39.065554,0.09566,0.03127,-1.04278,0.00639,0.05013,-0.03167
2025-07-03 21:46:39.166509,0.01384,0.01163,-1.04017,-0.03024,-0.03499,0.01131
2025-07-03 21:46:39.263844,-0.0488,0.00947,-1.00217,0.02134,0.0581,-0.04467
2025-07-03 21:46:39.362318,-0.04736,0.02917,-0.94141,0.0373,0.01665,-0.00942
2025-07-03 21:46:39.460924,-0.14116,-0.01813,-1.02056,-0.01909,-0.01611,0.05386
2025-07-03 21:46:39.566769,0.00761,-0.00988,-1.0255,-0.01068,0.01698,0.03939
2025-07-03 21:46:39.667714,-0.10741,0.03595,-0.97525,0.04045,0.00141,-0.0293
2025-07-03 21:46:39.764723,-0.13303,0.01974,-1.00856,0.01364,-0.00582,-0.00203
2025-07-03 21:46:39.866253,-0.03837,0.01617,-1.016,-0.00815,0.01745,-0.00132
2025-07-03 21:46:39.968723,0.00604,0.00324,-1.0179,-0.00794,0.0194,0.07939
2025-07-03 21:46:40.064739,0.03106,-0.00595,-1.00631,-0.00383,-0.00933,-0.0405
2025-07-03 21:46:40.165002,-0.01902,-0.00099,-0.99844,0.0121,0.00726,-0.00153
2025-07-03 21:46:40.268789,-0.00768,0.00659,-1.00553,0.00076,0.01101,0.02226
2025-07-03 21:46:40.368391,-0.00522,0.0092,-1.00976,0.00315,-0.00166,0.01274
2025-07-03 21:46:40.468136,-0.01194,0.00709,-1.00727,0.00105,0.00221,0.00887
2025-07-03 21:46:40.568316,-0.03124,0.01066,-1.0082,0.00593,-0.00081,-0.0035
